Subclass	Order	Species	BMR (mlO2/hour)	Body mass for BMR (gr)	Reference for BMR	FMR (kJ/day)	Body mass for FMR (gr)	Reference for FMR
Eutheria	Carnivora	Felis pardalis (Leopardus pardalis)	3126.3	10500	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis rufus (Lynx rufus)	4220	9400	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Felis serval (Leptailurus serval)	3137.2	10100	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis wiedii (Leopardus wiedii)	937.2	3600	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Felis yagouaroundi (Herpailurus yaguarondi)	1737	8400	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Fennecus zerda (Vulpes zerda)	583.2	1215	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Fossa fossana	906.26	2260	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Galerella sanguinea	410.4	540	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Genetta tigrina	747	1698	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Gulo gulo	5694	12700	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Herpestes javanicus	403.26	611	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Hyaena hyaena	5728	34300	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Lutra lutra	4500	10000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Lycaon pictus	-9999	-9999	-9999	15300	25170	Nagy et al99
Eutheria	Carnivora	Martes americana	594.9	900	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Martes martes	717	920	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Meles meles	2984	11050	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Mirounga angustirostris	-9999	-9999	-9999	30804	86750	Anderson & Jetz 2005
Eutheria	Carnivora	Mustela erminea	165	75	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Mustela frenata	240.58	225	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Mustela vison	488.4	660	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Nandinia binotata	862.54	4270	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Nasua narica	1207.43	3670	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Nasua nasua	993	4000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Neophoca cinerea	-9999	-9999	-9999	39500	83500	Nagy et al99
Eutheria	Carnivora	Panthera leo	16954	98000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Panthera onca	11189	50400	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Panthera tigris	23994.6	137900	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Paradoxurus hermaphroditus	759.98	3160	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Phoca vitulina	28467	85467	McNab2005ZoolSinica	52500	99000	Nagy et al99
Eutheria	Carnivora	Phocarctos hookeri	-9999	-9999	-9999	52648.5	111400	Anderson & Jetz 2005
Eutheria	Carnivora	Potos flavus	795.95	2343.33	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Procyon cancrivorus	464	1160	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Procyon lotor	1598.625	5075	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Proteles cristatus	2194	8100	White et al06BiolLett	1850	8540	Nagy et al99
Eutheria	Carnivora	Spilogale putorius	299.52	624	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Suricata suricatta	310.25	850	White et al06BiolLett	468	697	Scantlebury et al02
Eutheria	Carnivora	Taxidea taxus	2700	9000	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Carnivora	Ursus ursinus (Melursus ursinus)	844	6696	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Carnivora	Vulpes cana	-9999	-9999	-9999	642	972	Nagy et al99
Eutheria	Carnivora	Vulpes rueppelli	798.9	1546	Williams et al02PhysiolBiochemZool	1014.65	1750	Williams et al02
Eutheria	Carnivora	Vulpes velox	-9999	-9999	-9999	1780	2100	Nagy et al99
Eutheria	Carnivora	Vulpes vulpes	2442	4440	White et al06BiolLett	2216.2	4926.6	Winstanlet et al03
Eutheria	Carnivora	Zalophus californianus	31868	73000	McNab2005ZoolSinica	38600	78000	Nagy et al99
Eutheria	Chiroptera	Antrozous pallidus	21.9	22	White&Seymour03PNAS	-9999	-9999	-9999
Eutheria	Chiroptera	Chalinolobus gouldii	25.2	17.5	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Cynopterus brachyotis	47.5	37.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Desmodus rotundus	34.692	29.4	White et al06BiolLett	-9999	-9999	-9999
Eutheria	Chiroptera	Diaemus youngi	37.332	36.6	White et al06BiolLett	-9999	-9999	-9999
